External Transaction Description ,External Transaction Code ,Fee Item Description ,Internal Fee Item Code ,Credit / Debit ,Scoring Category 1,Scoring Category 2,Scoring Category 3,Scoring Category 4
SEP-Employer Current Year Contribution,111,,,,Non-fee item,Account Operations ,N/A,N/A
SEP-Employer Prior Year Contribution,116,,,,Non-fee item,Account Operations ,N/A,N/A
SEP-Reverse Employee Current Yr Contrib,210,,,,Non-fee item,Account Operations ,N/A,N/A
SEP-Reverse Employee Prior Yr Contribut,215,,,,Non-fee item,Account Operations ,N/A,N/A
SEP-Reverse Employer Current Yr Contrib,211,,,,Non-fee item,Account Operations ,N/A,N/A
SEP-Reverse Employer Prior Yr Contributn,216,,,,Non-fee item,Account Operations ,N/A,N/A
Service Fee,679,,,,Non-fee item,Account Operations ,N/A,N/A
Simple IRA - Early Distribution,199,,,,Non-fee item,Account Operations ,N/A,N/A
Simple IRA - Reverse Early Distribution,299,,,,Non-fee item,Account Operations ,N/A,N/A
State Interest Withheld,676,,,,Non-fee item,Account Operations ,N/A,N/A
State Withholding Balance Reduction,624,,,,Non-fee item,Account Operations ,N/A,N/A
Withdrawal Balance Reduction,625,,,,Non-fee item,Account Operations ,N/A,N/A
Withdrawal Closing Entry,620,,,,Non-fee item,Account Operations ,N/A,N/A
Withdrawal Fee,627,,,,Non-fee item,Account Operations ,N/A,N/A
Withdrawal Interest Credit,628,,,,Non-fee item,Account Operations ,N/A,N/A
Withholding - Federal,677,,,,Non-fee item,Account Operations ,N/A,N/A
Withholding - State,678,,,,Non-fee item,Account Operations ,N/A,N/A
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
